Model,Proj,LatentDim,HiddenDim,BLN,PredRMSE(rad),PredRMSE(deg),PredNRMSE(%),SimRMSE(rad),SimRMSE(deg),SimNRMSE(%)
SHND,,4,32,"[32, 32]",0.006373445503413677,0.36517152830223604,1.340166386216879,0.2477351533683663,14.194178725033549,51.65033972596438
SHND,,4,64,"[32, 64]",0.00657975859940052,0.37699239796055956,1.3698010705411434,0.2002856014437127,11.475519659964046,41.75757544350107
SHND,,4,64,"[64, 64]",0.006416641641408205,0.36764648470058714,1.3111202977597713,0.19949098214540914,11.429991327851605,41.591905145393795
SHND,,4,128,"[64, 128]",0.01530524529516697,0.8769259598255272,3.2129179686307907,84.16790905911859,4822.465959528423,17548.18013438485
SHND,,4,128,"[128, 128]",0.01015516184270382,0.5818479138592249,2.1120350807905197,0.203881125746616,11.681528027657121,42.50720685112684
SHND,,6,32,"[32, 32]",0.014787297695875168,0.8472497483771739,3.0742594972252846,0.42594446965563626,24.404820418206118,88.8052271265535
SHND,,6,64,"[32, 64]",0.0043262760154902935,0.24787735669626818,0.8973167277872562,0.05735678301931546,3.286301593454403,11.958324397066994
SHND,,6,64,"[64, 64]",0.005133228376507759,0.2941123212506861,1.078643649816513,0.09801793607907015,5.6160140539138,20.43577436987307
SHND,,6,128,"[64, 128]",0.010435587726533413,0.5979151334688865,2.156168594956398,0.4757775859775595,27.260047663436815,99.19494111197089
SHND,,6,128,"[128, 128]",0.014313324354588985,0.8200930763197618,2.993241138756275,0.35286449628904315,20.21764637737187,73.56877238758327
SHND,,8,32,"[32, 32]",0.0054688286036252975,0.31334079786815294,1.127332728356123,0.1503230756330789,8.612877797201286,31.34088085414119
SHND,,8,64,"[32, 64]",0.009365556761622429,0.536606875231176,1.9536295905709267,0.16241189819201618,9.305516309110933,33.86128130424438
SHND,,8,64,"[64, 64]",0.007467246614396572,0.42784171558827644,1.557476446032524,0.3452949405798416,19.783942782445468,71.9905945688967
SHND,,8,128,"[64, 128]",0.005406524520367384,0.3097710368510428,1.132260262966156,0.23112907848320588,13.242720719835663,48.18813665275747
SHND,,8,128,"[128, 128]",0.004850265569984913,0.27789974667775014,1.0035708546638489,0.3037245421503074,17.40213439975589,63.323575890943886
SHND,,10,32,"[32, 32]",0.006867959629744291,0.3935051006505794,1.4214190654456615,0.27524675658184206,15.770477476804263,57.3862380555367
